incidente,data_andamento,decisao,agravo,orgao_julgador,novo_cpc,adc,adi,adpf,re,sumula,assunto,segmento,instancia,area,paradigma,efeito_vinculante,data_autuacao
4168049,2015-05-15,procedente,não,Luís Roberto Barroso,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2011-11-08
4694798,2015-05-18,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-01-05
4731398,2015-05-21,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-03-12
4652455,2015-05-20,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-10-14
4772806,2015-05-20,procedente,não,Teori Zavascki,CPC/1973,não,sim,não,não,sim,PROCESSUAL CIVIL E DO TRABALHO,stj,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-05-12
4734460,2015-05-20,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,sim,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,rext,vinculante,2015-03-16
4759742,2015-05-20,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,sim,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,sumula,vinculante,2015-04-22
4446640,2015-05-21,procedente,não,Luís Roberto Barroso,CPC/1973,não,sim,não,não,não,PENAL E PROCESSO PENAL,estadual,primeira,DIREITO PROCESSUAL PENAL,controle_concentrado,vinculante,2013-08-13
4718646,2015-05-21,procedente,não,Gilmar Mendes,CPC/1973,não,não,não,não,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,inter_partes,nao_vinculante,2015-02-25
4732794,2015-05-21,procedente,não,Gilmar Mendes,CPC/1973,não,não,não,sim,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,rext,vinculante,2015-03-13
4743297,2015-05-21,procedente,não,Gilmar Mendes,CPC/1973,não,não,não,não,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,inter_partes,nao_vinculante,2015-03-26
4682786,2015-05-25,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-12-03
4751104,2015-05-25,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-09
4704352,2015-05-25,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PENAL,inter_partes,nao_vinculante,2015-02-03
4740721,2015-05-25,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-03-24
4756606,2015-05-25,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-16
4756606,2015-05-25,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-04-16
4771074,2015-05-26,procedente,não,Gilmar Mendes,CPC/1973,não,sim,não,não,não,CONSUMIDOR,estadual,segunda,DIREITO DO CONSUMIDOR,controle_concentrado,vinculante,2015-05-08
4773806,2015-05-26,procedente,não,Gilmar Mendes,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,federal,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-05-13
4581614,2015-05-28,procedente,não,Dias Toffoli,CPC/1973,não,não,não,não,sim,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,sumula,vinculante,2014-05-28
