incidente,data_andamento,decisao,agravo,orgao_julgador,novo_cpc,adc,adi,adpf,re,sumula,assunto,segmento,instancia,area,paradigma,efeito_vinculante,data_autuacao
4734685,2015-03-23,procedente,não,Gilmar Mendes,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2015-03-17
4696260,2015-03-24,procedente,não,Luís Roberto Barroso,CPC/1973,não,sim,não,não,não,PENAL E PROCESSO PENAL,estadual,primeira,DIREITO PROCESSUAL PENAL,controle_concentrado,vinculante,2015-01-09
4595858,2015-03-24,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-06-20
4620435,2015-03-24,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-08-23
4686812,2015-03-24,procedente,não,Luís Roberto Barroso,CPC/1973,não,não,não,não,sim,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,sumula,vinculante,2014-12-10
4635367,2015-03-25,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-09-16
4637730,2015-03-25,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-09-18
4689761,2015-03-25,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-12-16
4691749,2015-03-27,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,sim,PROCESSUAL CIVIL E DO TRABALHO,estadual,segunda,DIREITO PROCESSUAL CIVIL E DO TRABALHO,sumula,vinculante,2014-12-18
4385667,2015-03-26,procedente,sim,Luiz Fux,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,federal,primeira,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2013-03-28
4723389,2015-03-27,procedente,não,Luiz Fux,CPC/1973,não,sim,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,estadual,primeira,DIREITO PROCESSUAL CIVIL E DO TRABALHO,controle_concentrado,vinculante,2015-03-03
